"Ia","Ib","Ic","Ua","Ub","Uc"
"-137.045","-438.878","576.068","62754.554","-173319.893","110605.288"
"-93.157","-468.999","563.151","75414.696","-174963.619","99596.878"
"-44.392","-499.121","541.621","87554.558","-175569.202","87981.704"
"4.371","-520.636","520.091","99260.853","-175050.131","75759.768"
"48.259","-546.455","494.256","110360.155","-173406.405","63104.429"
"97.024","-563.667","464.114","120679.038","-170724.536","50015.689"
"145.788","-576.576","433.973","130304.214","-167004.524","36666.907"
"189.676","-589.485","399.525","139148.971","-162246.369","23144.765"
"233.564","-598.091","365.078","147126.595","-156536.584","9362.581"
"277.452","-602.395","326.324","154150.372","-149788.656","-4419.601"
"321.34","-602.395","283.265","160307.016","-142175.609","-18115.105"
"360.352","-598.091","240.206","165423.101","-133610.931","-31810.608"
"394.487","-593.788","197.147","169498.626","-124267.645","-45246.07"
"433.499","-580.879","149.781","172620.305","-114145.753","-58421.491"
"462.757","-567.97","102.416","174614.711","-103331.766","-71250.19"
"492.016","-550.758","55.051","175481.844","-91912.195","-83558.807"
"521.275","-529.242","7.686","175308.417","-79887.041","-95434.022"
"540.781","-503.424","-39.679","174094.431","-67342.815","-106702.474"
"560.286","-477.605","-87.044","171753.172","-54452.542","-117364.163"
"579.792","-447.484","-134.409","168371.353","-41216.221","-127245.728"
"589.545","-413.059","-177.468","163948.975","-27633.853","-136347.17"
"599.298","-374.332","-224.834","158572.75","-13964.973","-144581.808"
"604.175","-339.907","-267.893","152155.966","-209.581","-151949.642"
"609.051","-296.877","-310.952","144785.336","13545.81","-158363.992"
"604.175","-253.846","-349.706","136547.572","27301.203","-163824.857"
"599.298","-210.815","-388.459","127529.389","40797.059","-168332.238"
"589.545","-167.784","-422.906","117644.073","54033.38","-171712.774"
